,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
11702,877212,ZEBRA TECHNOLOGIES CORP,2/19/2014,exhibit,descript,file,act,exchang,februari,posit,decemb,refer,contain
11716,883241,SYNOPSYS INC,2/19/2014,gaap,measur,non,busi,tax,cost,acquir,exclud,compens,expens
11753,8858,AVNET INC,1/23/2014,januari,incorpor,result,exhibit,review,forth,herein,cfo,quarter,form
11770,895419,CREE INC,1/21/2014,item,exhibit,januari,releas,furthermor,press,compani,decemb,section,act
11782,898293,JABIL CIRCUIT INC,3/19/2014,exhibit,march,act,herewith,regardless,report,exchang,file,press,releas
11806,910638,3D SYSTEMS CORP,2/28/2014,webcast,call,sec,exhibit,herewith,press,slide,item,compani,februari
11862,936395,CIENA CORP,3/6/2014,highlight,websit,discuss,com,march,corpor,investor,januari,call,time
11894,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,5/22/2014,compani,result,prepar,quarter,post,statement,estim,remark,brcd,includ
11915,1013462,ANSYS INC,5/1/2014,date,document,exhibit,remark,copi,press,item,releas,herein,statement
11963,1032220,MAXIMUS INC,5/13/2014,accompani,transcript,call,form,slide,respect,confer,text,item,result
11967,103730,VISHAY INTERTECHNOLOGY INC,5/6/2014,dilut,price,convers,debentur,share,ep,stock,convert,princip,comput
11995,1038074,SILICON LABORATORIES INC,4/29/2014,gaap,inform,measur,result,financi,supplement,addit,investor,april,press
12009,1056696,MANHATTAN ASSOCIATES INC,4/22/2014,adjust,compens,acquisit,share,incom,measur,gaap,cost,perform,competitor
12037,1062047,CONVERGYS CORP,5/12/2014,gaap,press,date,releas,therein,affair,speak,cautionari,statement,sinc
12047,1078075,NETSCOUT SYSTEMS INC,4/24/2014,april,compani,outstand,stock,program,exhibit,enabl,dollar,hold,purchas
12091,1111928,IPG PHOTONICS CORP,4/29/2014,exhibit,financi,condit,statement,item,result,,,,
12116,1169561,COMMVAULT SYSTEMS INC,4/25/2014,conditionon,press,april,pursuant,releas,exhibit,item,march,section,act
12143,1177394,SYNNEX CORP,4/3/2014,april,act,exchang,press,file,text,exhibit,inform,refer,section
12158,1262039,FORTINET INC,4/23/2014,april,act,file,exhibit,refer,exchang,march,press,secur,herewith
12174,1265888,NEUSTAR INC,4/16/2014,april,replay,report,call,releas,exhibit,incorpor,act,copi,press
12211,1280452,MONOLITHIC POWER SYSTEMS INC,4/24/2014,immedi,board,mcburni,departur,mp,march,director,resign,exhibit,disagr
12254,23082,COMPUTER SCIENCES CORP,5/8/2014,pm,part,matter,thursday,execut,file,offic,herein,discuss,subsequ
12290,2488,ADVANCED MICRO DEVICES INC,4/17/2014,acquir,gaap,amort,quarter,deriv,loss,charg,asset,compani,non
12314,310568,MICROSEMI CORP,4/24/2014,date,press,item,herein,april,statement,corpor,exhibit,releas,condit
12339,701811,MENTOR GRAPHICS CORP,5/22/2014,commiss,outlook,quarter,year,result,financi,compani,date,secur,exchang
12369,703361,INTEGRATED DEVICE TECHNOLOGY INC,5/5/2014,dissemin,exhibit,regul,press,releas,financi,measur,publicli,entireti,gaap
12370,703361,INTEGRATED DEVICE TECHNOLOGY INC,5/12/2014,press,error,typograph,measur,releas,exhibit,regul,financi,gaap,dissemin
12395,70866,NCR CORP,4/29/2014,copi,april,compani,outlook,quarter,post,year,herebi,discuss,materi
12433,714603,DST SYSTEMS INC,4/24/2014,exhibit,act,conditionse,date,hereof,file,news,april,concern,item
12476,733269,ACXIOM CORP,5/14/2014,non,cash,flow,measur,gaap,avail,compani,dilut,attribut,reconcil
12515,749251,GARTNER INC,5/1/2014,month,march,exhibitsexhibit,act,instruct,form,file,exchang,financi,exhibit
12539,7536,ARROW ELECTRONICS INC,5/6/2014,exhibit,exchang,file,releas,act,press,cfo,commentari,quarter,languag
12553,772406,CIRRUS LOGIC INC,4/24/2014,press,text,april,year,result,form,compani,report,quarter,condit
12596,790703,TECH DATA CORP,4/9/2014,gaap,januari,incom,non,twelv,tax,margin,month,relat,restat
12597,790703,TECH DATA CORP,5/29/2014,month,measur,non,gaap,incom,april,relat,accord,margin,dilut
12624,797721,VIASAT INC,5/20/2014,descript,section,file,specif,exhibit,press,hereof,languag,act,date
12639,813672,CADENCE DESIGN SYSTEMS INC,4/21/2014,press,releas,april,march,copi,exhibitsexhibit,exhibit,result,item,herein
12655,814547,FAIR ISAAC CORP,4/24/2014,exhibit,financi,condit,statement,item,result,,,,
12686,817720,SYNAPTICS INC,4/24/2014,registr,avail,chang,form,exhibit,document,report,reserv,shell,circumst
12687,817720,SYNAPTICS INC,6/10/2014,registr,form,exhibit,report,june,act,instruct,file,avail,chang
12694,851205,COGNEX CORP,4/30/2014,april,languag,file,act,hereto,news,march,report,attach,secur
12714,860731,TYLER TECHNOLOGIES INC,4/24/2014,march,news,releas,condit,issu,financi,april,exhibit,result,hereto
12751,877212,ZEBRA TECHNOLOGIES CORP,4/15/2014,propos,term,busi,abil,seller,risk,acquisit,anticip,investor,statement
12753,877212,ZEBRA TECHNOLOGIES CORP,5/6/2014,posit,march,file,exchang,exhibit,descript,act,refer,contain,secur
12770,883241,SYNOPSYS INC,5/21/2014,measur,non,tax,gaap,busi,cost,acquir,exclud,compens,expens
12787,8858,AVNET INC,4/24/2014,review,april,exhibit,result,incorpor,herein,forth,cfo,quarter,form
12796,895419,CREE INC,4/22/2014,exhibit,april,press,item,furthermor,compani,section,march,act,report
12808,898293,JABIL CIRCUIT INC,6/18/2014,exhibit,regardless,act,herewith,june,report,exchang,file,press,releas
12831,910638,3D SYSTEMS CORP,4/29/2014,call,webcast,sec,item,press,compani,slide,exhibit,april,march
12882,936395,CIENA CORP,6/5/2014,corpor,call,investor,discuss,websit,com,june,april,time,exhibit
12897,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,8/21/2014,remark,regard,august,result,compani,look,estim,accompani,slide,financi
12924,1013462,ANSYS INC,8/5/2014,copi,document,issu,exhibit,date,august,remark,press,prepar,registr
12957,1032220,MAXIMUS INC,8/11/2014,transcript,call,form,accompani,slide,confer,august,respect,text,issu
12963,103730,VISHAY INTERTECHNOLOGY INC,7/29/2014,dilut,stock,debentur,share,ep,price,convers,princip,comput,convert
12975,1038074,SILICON LABORATORIES INC,7/25/2014,measur,supplement,financi,inform,result,gaap,addit,juli,press,investor
12980,1056696,MANHATTAN ASSOCIATES INC,7/22/2014,incom,adjust,measur,share,compens,acquisit,gaap,cost,competitor,believ
12990,1062047,CONVERGYS CORP,8/11/2014,august,gaap,releas,press,date,cautionari,speak,statement,affair,therein
13016,1078075,NETSCOUT SYSTEMS INC,7/17/2014,court,claim,state,compani,action,director,articl,restat,assert,bylaw
13048,1111928,IPG PHOTONICS CORP,7/29/2014,forth,act,juli,corpor,exhibit,file,conditionon,form,text,specif
13065,1169561,COMMVAULT SYSTEMS INC,7/29/2014,exhibit,juli,press,releas,item,conditionon,pursuant,june,act,section
13081,1177394,SYNNEX CORP,7/2/2014,file,act,juli,exhibit,exchang,press,section,inform,text,refer
13083,1177394,SYNNEX CORP,9/29/2014,exhibit,act,septemb,exchang,file,press,text,inform,section,refer
13105,1262039,FORTINET INC,7/23/2014,press,act,file,juli,exhibit,refer,exchang,releas,june,secur
