,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
2008,720672,STIFEL FINANCIAL CORP,2015-05-11,stifel,may,exhibit,broadcast,site,referenc,listen,call,live,web
2035,73088,NORTHWESTERN CORP,2015-04-23,reaffirm,nwe,rang,nyse,shall,northwestern,energi,current,refer,provid
2044,73756,OCEANEERING INTERNATIONAL INC,2015-04-23,therein,unless,identifi,refer,incorpor,amend,first,act,secur,march
2078,74303,OLIN CORP,2015-04-27,exhibit,april,olin,instruct,preliminari,press,compani,releas,amend,financi
2113,7536,ARROW ELECTRONICS INC,2015-04-30,cfo,first,press,april,commentari,releas,act,hereto,earn,exhibit
2123,799729,PAREXEL INTERNATIONAL CORP,2015-04-30,exhibit,connect,exchang,file,full,april,act,parexel,intern,item
2133,861361,B/E AEROSPACE INC,2015-04-23,shall,act,aerospac,exchang,includ,file,refer,deem,herebi,secur
2158,861459,GRANITE CONSTRUCTION INC,2015-05-05,measur,compani,may,ebitda,provid,gaap,non,financi,use,method
2179,887936,FTI CONSULTING INC,2015-05-04,consult,ebitda,fti,incom,adjust,segment,charg,loss,measur,total
2180,887936,FTI CONSULTING INC,2015-05-05,segment,fti,adjust,consult,ebitda,measur,charg,incom,loss,total
2192,903127,POST PROPERTIES INC,2015-05-05,entireti,supplement,financi,data,quarterli,earn,post,period,march,registr
2214,910521,DECKERS OUTDOOR CORP,2015-05-28,act,exhibit,outdoor,decker,may,shall,exchang,financi,file,hereto
2237,910606,REGENCY CENTERS CORP,2015-05-07,regenc,march,three,year,regencycent,com,websit,may,month,post
2247,921112,LIBERTY PROPERTY TRUST,2015-04-21,registr,exhibit,financi,none,april,pro,forma,shell,transact,current
2298,936395,CIENA CORP,2015-05-04,ciena,propos,transact,sec,cyan,may,proxi,prospectu,joint,obtain
2300,936395,CIENA CORP,2015-06-04,investor,ciena,second,fiscal,discuss,call,com,websit,corpor,text
2311,936528,WASHINGTON FEDERAL INC,2015-04-20,applic,sheet,exhibit,fact,march,detail,april,financi,compani,certain
2330,945394,HOSPITALITY PROPERTIES TRUST,2015-05-07,may,march,supplement,hospit,compani,financi,quarter,trust,oper,data
2372,945764,DENBURY RESOURCES INC,2015-05-06,financi,secur,act,resourc,may,denburi,exhibit,exhibitsitem,file,unless
2390,945841,POOL CORP,2015-04-23,corpor,april,pool,affirm,first,earn,rang,guidanc,delawar,extent
2397,1018003,INGRAM MICRO INC,2015-07-30,exclud,non,gaap,ingram,micro,associ,measur,view,financi,juli
2420,1025996,KILROY REALTY CORP,2015-07-30,realti,kilroy,act,inform,juli,supplement,kilroyrealti,distribut,corpor,exchang
2428,103730,VISHAY INTERTECHNOLOGY INC,2015-08-04,share,stock,dilut,debentur,averag,price,ep,vishay,convert,convers
2440,1038074,SILICON LABORATORIES INC,2015-07-29,laboratori,silicon,measur,gaap,non,provid,financi,inform,juli,result
2455,1056696,MANHATTAN ASSOCIATES INC,2015-07-21,adjust,net,measur,compens,equiti,acquisit,incom,oper,per,share
2485,1062449,BUFFALO WILD WINGS INC,2015-07-28,exhibitdescript,juli,wild,wing,buffalo,exhibit,press,financi,releas,second
2501,1077771,UMPQUA HOLDINGS CORP,2015-07-15,hold,juli,umpqua,repurchas,program,act,second,slide,corpor,extens
2520,1128928,FLOWERS FOODS INC,2015-08-12,flower,week,august,food,exhibit,releas,financi,press,number,juli
2537,1143068,GREAT PLAINS ENERGY INC,2015-08-06,bryant,grant,energi,great,mr,appoint,offic,kcp,gmo,plain
2578,1179929,MOLINA HEALTHCARE INC,2015-07-30,juli,six,molina,healthcar,cite,month,exhibit,june,amend,second
2598,1265888,NEUSTAR INC,2015-07-30,neustar,announc,bombora,juli,releas,pti,press,australia,exhibit,ltd
2614,1287865,MEDICAL PROPERTIES TRUST INC,2015-08-04,three,month,june,six,disclos,million,fund,medic,end,gaap
2636,18349,SYNOVUS FINANCIAL CORP,2015-07-21,slide,exhibit,inform,pursuant,current,act,document,supplement,file,juli
2642,310142,SENSIENT TECHNOLOGIES CORP,2015-07-24,sensient,june,technolog,six,month,exhibit,current,corpor,disclos,press
2652,33619,ESTERLINE TECHNOLOGIES CORP,2015-09-03,supplement,releas,press,financi,esterlin,septemb,technolog,exhibit,regard,inform
2663,350797,EATON VANCE CORP,2015-08-19,august,exhibit,nine,registr,date,news,describ,document,juli,three
2670,355811,GENTEX CORP,2015-07-23,shall,gentex,file,news,form,exhibit,financi,attach,section,deem
2681,46195,BANK OF HAWAII CORP,2015-07-27,internet,bank,corpor,hawaii,public,exhibit,hyperlink,juli,address,intend
2685,52827,RAYONIER INC,2015-08-05,financi,item,oper,statement,result,condit,exhibit,,,
2696,67215,DYCOM INDUSTRIES INC,2015-07-01,repurchas,compani,juli,author,current,dycom,look,forward,expect,form
2698,67215,DYCOM INDUSTRIES INC,2015-08-26,measur,gaap,compani,august,materi,forward,non,relat,revenu,may
2700,67215,DYCOM INDUSTRIES INC,2015-08-27,transcript,non,revenu,compani,gaap,forward,measur,confer,call,form
2719,70145,NATIONAL FUEL GAS CO,2015-08-07,oil,obtain,natur,compani,chang,project,ga,cost,rate,plan
2737,701811,MENTOR GRAPHICS CORP,2015-08-20,third,outlook,mentor,full,august,compani,second,graphic,commiss,quarter
2745,706688,AARON'S INC,2015-07-24,gaap,segment,measur,compani,earn,present,net,financi,accord,ep
2759,720672,STIFEL FINANCIAL CORP,2015-08-10,stifel,referenc,listen,august,broadcast,live,exhibit,call,site,web
2781,73088,NORTHWESTERN CORP,2015-07-23,nyse,northwestern,reaffirm,nwe,energi,current,shall,provid,rang,refer
2797,73756,OCEANEERING INTERNATIONAL INC,2015-07-22,unless,identifi,refer,incorpor,second,act,june,secur,therein,amend
2834,74303,OLIN CORP,2015-07-31,olin,instruct,amend,exhibit,juli,preliminari,press,compani,releas,financi
2871,7536,ARROW ELECTRONICS INC,2015-07-28,cfo,juli,commentari,act,second,earn,press,hereto,releas,exhibit
2904,799729,PAREXEL INTERNATIONAL CORP,2015-08-06,full,august,connect,act,exchang,exhibit,file,parexel,financi,intern
2921,861361,B/E AEROSPACE INC,2015-07-22,aerospac,act,exchang,shall,herebi,includ,refer,file,deem,secur
2932,861459,GRANITE CONSTRUCTION INC,2015-07-30,gaap,use,ebitda,financi,non,measur,compani,provid,method,similar
2936,887936,FTI CONSULTING INC,2015-07-31,loss,total,fti,charg,adjust,segment,consult,incom,ebitda,measur
2937,887936,FTI CONSULTING INC,2015-08-03,adjust,charg,consult,ebitda,fti,incom,segment,loss,measur,total
2946,903127,POST PROPERTIES INC,2015-08-04,entireti,supplement,financi,data,quarterli,earn,post,period,june,registr
2959,910521,DECKERS OUTDOOR CORP,2015-07-30,act,juli,exhibit,outdoor,shall,decker,exchang,financi,file,hereto
2969,910606,REGENCY CENTERS CORP,2015-08-05,august,month,six,regenc,june,three,regencycent,websit,post,com
2974,921112,LIBERTY PROPERTY TRUST,2015-07-28,exhibit,juli,registr,transact,none,shell,financi,pro,forma,current
3012,936395,CIENA CORP,2015-09-03,vice,senior,note,appoint,offic,presid,locoh,ciena,mr,donou
3026,936528,WASHINGTON FEDERAL INC,2015-07-17,fact,sheet,applic,june,detail,juli,exhibit,compani,financi,certain
3038,945394,HOSPITALITY PROPERTIES TRUST,2015-08-10,august,data,june,financi,supplement,oper,six,compani,month,hospit
3048,945764,DENBURY RESOURCES INC,2015-08-05,denburi,august,act,exhibit,exhibitsitem,resourc,secur,file,unless,financi
3058,945841,POOL CORP,2015-07-23,juli,pool,earn,narrow,guidanc,corpor,second,rang,delawar,extent
3069,1018003,INGRAM MICRO INC,2015-10-29,non,micro,ingram,measur,gaap,view,relat,associ,financi,charg
3085,1025996,KILROY REALTY CORP,2015-10-29,realti,corpor,exchang,distribut,supplement,inform,octob,kilroyrealti,kilroy,act
3092,103730,VISHAY INTERTECHNOLOGY INC,2015-10-08,exhibit,octob,outlook,intertechnolog,vishay,press,herebi,third,releas,updat
3093,103730,VISHAY INTERTECHNOLOGY INC,2015-11-03,share,vishay,price,dilut,convert,stock,debentur,ep,averag,convers
3103,1038074,SILICON LABORATORIES INC,2015-10-28,laboratori,silicon,measur,gaap,non,octob,financi,provid,inform,result
3118,1056696,MANHATTAN ASSOCIATES INC,2015-10-20,adjust,incom,measur,acquisit,per,net,compens,equiti,share,gaap
3129,1062449,BUFFALO WILD WINGS INC,2015-10-28,octob,wing,exhibitdescript,wild,buffalo,press,third,releas,exhibit,financi
3148,1077771,UMPQUA HOLDINGS CORP,2015-10-21,hold,octob,third,umpqua,act,slide,exchang,corpor,file,releas
3161,1128928,FLOWERS FOODS INC,2015-11-12,octob,novemb,inc,ii,flower,releas,press,exhibit,food,week
3173,1143068,GREAT PLAINS ENERGY INC,2015-11-05,kcp,plain,great,energi,novemb,exhibit,document,press,releas,inform
3200,1179929,MOLINA HEALTHCARE INC,2015-10-29,octob,nine,healthcar,molina,third,septemb,amend,exhibit,cite,month
3216,1265888,NEUSTAR INC,2015-10-29,releas,call,third,announc,act,refer,neustar,exhibit,octob,includ
3226,1287865,MEDICAL PROPERTIES TRUST INC,2015-11-05,nine,month,million,septemb,three,medic,disclos,fund,end,gaap
3253,18349,SYNOVUS FINANCIAL CORP,2015-10-20,slide,inform,supplement,octob,current,pursuant,act,exhibit,document,file
3281,310142,SENSIENT TECHNOLOGIES CORP,2015-10-22,sensient,technolog,nine,septemb,month,corpor,disclos,exhibit,current,press
3298,33619,ESTERLINE TECHNOLOGIES CORP,2015-11-19,esterlin,novemb,month,financi,supplement,period,year,fiscal,two,technolog
