,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
4614,73088,NORTHWESTERN CORP,2016-02-11,found,guidanc,affirm,northwestern,concern,shall,assumpt,nwe,nyse,rang
4661,73756,OCEANEERING INTERNATIONAL INC,2016-02-11,unless,refer,incorpor,amend,identifi,therein,fourth,act,secur,furnish
4704,74303,OLIN CORP,2016-02-03,olin,februari,exhibit,instruct,compani,amend,press,preliminari,releas,financi
4798,7536,ARROW ELECTRONICS INC,2016-02-04,cfo,act,registr,februari,attach,hereto,fourth,commentari,press,releas
4810,799729,PAREXEL INTERNATIONAL CORP,2016-01-27,act,exchang,exhibit,januari,parexel,connect,file,intern,full,financi
4840,861361,B/E AEROSPACE INC,2016-02-02,shall,exchang,act,herebi,deem,includ,aerospac,file,refer,secur
4865,861459,GRANITE CONSTRUCTION INC,2016-02-25,compani,measur,gaap,use,ebitda,non,financi,provid,method,similar
4883,887936,FTI CONSULTING INC,2016-02-29,ebitda,segment,consult,adjust,incom,loss,charg,measur,fti,gaap
4920,903127,POST PROPERTIES INC,2016-02-05,quarterli,entireti,supplement,financi,data,earn,period,exhibit,post,decemb
4936,910521,DECKERS OUTDOOR CORP,2016-02-04,act,februari,exhibit,shall,outdoor,decker,exchang,financi,file,hereto
4978,910606,REGENCY CENTERS CORP,2016-02-11,three,februari,regenc,decemb,websit,com,regencycent,month,year,post
5004,921112,LIBERTY PROPERTY TRUST,2016-02-09,pro,februari,registr,financi,exhibit,none,forma,transact,shell,current
5047,936395,CIENA CORP,2016-03-03,websit,first,ciena,call,januari,discuss,investor,com,corpor,text
5076,936528,WASHINGTON FEDERAL INC,2016-01-19,applic,sheet,fact,decemb,detail,januari,compani,financi,exhibit,certain
5093,945394,HOSPITALITY PROPERTIES TRUST,2016-02-24,supplement,financi,data,februari,oper,decemb,hospit,year,compani,quarter
5116,945764,DENBURY RESOURCES INC,2016-02-18,act,resourc,exhibit,exhibitsitem,dioxid,carbon,denburi,februari,ga,oil
5148,945841,POOL CORP,2016-02-18,februari,exhcnag,corpor,pool,provid,guidanc,fiscal,delawar,extent,releas
5166,1018003,INGRAM MICRO INC,2016-04-29,busi,advers,micro,proxi,ingram,non,gaap,measur,could,may
5195,1025996,KILROY REALTY CORP,2016-04-28,realti,kilroy,act,inform,supplement,april,corpor,kilroyrealti,distribut,exchang
5201,103730,VISHAY INTERTECHNOLOGY INC,2016-05-03,price,dilut,debentur,vishay,stock,share,convert,ep,averag,convers
5220,1038074,SILICON LABORATORIES INC,2016-04-27,silicon,non,measur,laboratori,gaap,provid,inform,result,financi,april
5233,1056696,MANHATTAN ASSOCIATES INC,2016-04-19,gaap,adjust,acquisit,compens,measur,incom,oper,net,cost,relat
