,Return
11,-0.022484756097560954
58,-0.027795923474338236
94,-0.025343953656770446
130,-0.0214690810974143
174,-0.0007553373425142063
206,0.0044020485986562274
248,0.0045336787564767
294,0.006670138532580916
342,0.00368259110537017
389,-0.014353125946655054
419,-0.02667627974044695
448,-0.0033760972316003723
499,-0.022342065575580383
517,0.0066213801467396305
540,0.005376334805970551
560,0.02268758357797096
571,0.015786339756304946
644,-0.00988725030746751
657,0.005557485044894506
680,0.0006152261221301636
682,-0.042727512012145974
701,0.012139318934258236
719,-0.011663110151187928
787,0.030313316406222146
843,0.008405084223146453
880,0.008944543508245362
921,-0.03471223146446878
956,0.004063205417607296
1056,-0.02850063627188404
1074,0.0556025200474064
1075,-0.008941619539639678
1101,0.003958760893588931
1119,-0.019896136101499318
1140,-0.016714520326076898
1141,-0.009516679188580013
1142,0.0029783816585160494
1178,0.014243143189083485
1206,-0.19715564107775518
1235,-0.015478070974023206
1239,0.014998545589459233
1265,0.0042216092759044255
1316,-0.024053274101674793
1347,0.001499300349824928
1365,0.004812030075187934
1412,0.0
1451,0.00015525865363108515
1485,-0.026335003657644407
1515,-0.027795923474338236
1524,-0.025343953656770446
1551,-0.039929879774906696
1564,0.019186843745702342
1602,-0.003381304519081141
1638,0.01951854261548469
1673,-0.0024988005997002016
1691,0.009766341123125244
1727,0.020808541831322636
1753,-0.013138063556233592
1762,0.034410112359550604
1801,0.04695790118415677
1819,0.022436464099599984
1828,0.012844359403492822
1829,-0.03801834713744978
1839,0.011874005582136915
1853,-0.006764317925591734
1886,-0.00884952156130614
1910,0.00888415099090789
1928,0.01054987178548994
1929,0.01944180054693634
1947,0.0
1972,0.00485870162803459
1983,0.012970907567297463
2008,-0.0032773453502663585
2035,-0.004060863081585819
2044,0.023495779312159737
2078,-0.02048042617095014
2113,0.003997038444821133
2123,-0.006397621496023964
2133,0.003105573716901011
2158,-0.005162989270733331
2179,-0.016714520326076898
2180,-0.016201884929514687
2192,0.005160662560346196
2214,0.009695556834969699
2237,-0.0035439751396341146
2247,0.014503575168613336
2298,0.0
2300,0.0
2311,0.001499300349824928
2330,0.01743261544952812
2372,-0.02961918194640334
2390,0.004631105350896947
2397,-0.0055599285146942234
2420,0.0020229399319504626
2428,-0.019872249822569188
2440,-0.039929879774906696
2455,0.019186843745702342
2485,-0.003381304519081141
2501,0.01951854261548469
2520,0.006670138532580916
2537,0.007024973903230647
2578,-0.00923199764289917
2598,0.02738680002332461
2614,0.02350427350427342
2636,0.04695790118415677
2642,0.006531629440508446
2652,-0.03801834713744978
2663,0.0
2670,0.0045402948615040906
2681,-0.014541029623650004
2685,-0.007057198306280932
2696,0.0
2698,0.05041497234598746
2700,-0.042727512012145974
2719,0.017989874576572307
2737,-0.006337664101403351
2745,0.012970907567297463
2759,-0.0032773453502663585
2781,-0.004060863081585819
2797,-0.02112943156320113
2834,0.008376585560430971
2871,0.0014342416893913246
2904,0.008098574086242483
2921,0.008239947264337522
2932,0.034037556687936954
2936,-0.10081136468214236
2937,-0.016714520326076898
2946,0.01196089939418954
2959,0.04405746961131851
2969,0.007171208312920063
2974,0.015196054294021044
3012,0.0
3026,0.0
3038,0.009442870632672351
3048,-0.02876712328767128
3058,0.004631105350896947
3069,-0.008270933764117139
3085,-0.027795923474338236
3092,0.0
3093,-0.019872249822569188
3103,0.016729867645332686
3118,-0.027975176998775053
3129,-0.003381304519081141
3148,0.05314322747893718
3161,0.006670138532580916
3173,0.007074602051644785
3200,-0.03028571428571436
3216,-0.013138063556233592
3226,-0.0076548364648573175
3253,-0.009304167043048817
3281,-0.004551332899869975
3298,0.0
3351,0.02268758357797096
3365,0.01603671340416457
3381,-0.00988725030746751
3387,0.006749555950266384
3411,0.0006152261221301636
3413,0.0006152261221301636
3448,-0.0025211033664541693
3455,0.0
3461,0.008528111181301368
3475,-0.021932443747630148
3493,0.009221260088434713
3502,0.0015624609069830875
3577,-0.023912999999999962
3594,0.0014342416893913246
3604,-0.008383056720668303
3633,-0.019376042056616027
3640,-0.010486690252398234
3644,-0.10081136468214236
3645,-0.016714520326076898
3654,0.01196089939418954
3674,-0.19715564107775518
3694,-0.018889511400522974
3699,-0.007540792810975749
3739,0.002071517455801253
3765,-0.010101057715196982
3773,0.009442870632672351
3779,-0.02876712328767128
3804,0.004029789400021189
3827,0.029108365110846135
3868,0.0
3903,0.011374407582938284
3927,0.0
3963,0.0
3997,0.0
4030,0.034458004307250656
4069,0.014862934748586465
4126,-0.008169365020423314
4175,-0.004981302348003869
4205,-0.027272770562770665
4223,0.00990099009900991
4279,-0.019958672400504862
4299,-0.0069330139672164615
4316,0.0002462987992042365
4337,-0.02388472159763677
4352,0.02393418100224376
4390,0.032901870422543444
4403,-0.005363237445148883
4417,-0.03236295966667824
4419,-0.01984320627802194
4445,-0.013234269793359621
4465,0.0
4512,0.0
4578,-0.05709237786933474
4614,0.003564040450871442
4661,0.0009034327281975951
4704,0.0
4798,-0.013549134617032998
4810,-0.00847998399999994
4840,0.0
4865,0.02510689169623115
4883,0.003245824822833532
4920,-0.004374928487295926
4936,0.0074230749767518756
4978,-0.004968639485605886
5004,-0.0016436226166994805
5047,0.0
5076,-0.018726684516541026
5093,-0.0180378354597448
5116,0.0
5148,0.0
5166,0.004255283537046628
5195,-0.006402294149030707
5201,0.0
5220,0.02383179962223836
5233,0.014017859093391705
5262,-0.019634768043677253
5302,-0.010071942446043258
5338,0.0
5370,0.0018362467866324117
5395,0.023294819232202668
5421,-0.005260987667381145
5440,0.03051438535309492
5481,-0.019958672400504862
5500,0.0
5507,-0.028198510382939523
5519,0.029866857507489852
5536,-0.013929618768328544
5563,0.032901870422543444
5588,0.013513467859753714
5607,0.0
5609,-0.01984320627802194
5632,0.0019853517765120454
5648,0.014510277236379876
5664,-0.010052404285507133
5691,-0.005485491099437523
5692,-0.005485491099437523
5708,-0.013721804253349457
5727,0.05462721546827698
5743,0.0
5787,0.0
5799,-0.00847998399999994
5810,-0.01711493803838937
5831,-0.004141858551854449
5847,0.003245824822833532
5848,0.0
5866,0.0
5888,-0.02370368253968258
5923,0.019543973651999114
5934,-0.0006905386978776074
5970,0.0
5982,0.0
5995,0.006384677030513819
6017,-0.14925373134328346
6038,0.024606614578192243
6043,0.018786163294797653
6059,-0.015546674996487542
6066,0.0
6079,0.02383179962223836
6087,0.014017859093391705
6104,-0.019634768043677253
6122,-0.010071942446043258
6137,0.014862934748586465
6177,0.005910602142593202
6221,-0.013421566711188881
6234,-0.005260987667381145
6256,0.03051438535309492
6281,-0.019958672400504862
6290,-0.03590871463269951
6297,0.0002462987992042365
6314,0.0
6322,-0.013929618768328544
6330,0.032901870422543444
6335,0.0
6353,-0.03236295966667824
6354,-0.03236295966667824
6373,-0.013234269793359621
6389,0.0
6399,-0.010052404285507133
6412,0.0
6425,-0.013256217078860821
6429,0.008418611450307534
6446,-0.05312710154673839
6450,0.0
6470,0.0
6506,0.0
6516,-0.01711493803838937
6524,-0.004141858551854449
6534,0.003245824822833532
6535,0.0
6543,0.0
6569,0.029558658835165064
6582,0.0
6598,-0.0006905386978776074
6639,0.0
6646,-0.012932979214780427
6661,0.006384677030513819
6674,-0.014705882352941346
6684,0.024606614578192243
