,CIK,Company Name,Form Type,Date Filed,Filename
4887,1013462,ANSYS INC,SC 13G/A,2/11/2015,edgar/data/1013462/0001532155-15-000023.txt
4888,1013462,ANSYS INC,SC 13G/A,2/13/2015,edgar/data/1013462/0000315066-15-001755.txt
12654,1032220,MAXIMUS INC,10-Q,2/6/2015,edgar/data/1032220/0001104659-15-007433.txt
12655,1032220,MAXIMUS INC,4,1/16/2015,edgar/data/1032220/0001032220-15-000001.txt
12656,1032220,MAXIMUS INC,4,1/26/2015,edgar/data/1032220/0001032220-15-000002.txt
12657,1032220,MAXIMUS INC,4,2/3/2015,edgar/data/1032220/0001032220-15-000003.txt
12658,1032220,MAXIMUS INC,4,2/3/2015,edgar/data/1032220/0001032220-15-000004.txt
12659,1032220,MAXIMUS INC,4,2/3/2015,edgar/data/1032220/0001032220-15-000005.txt
12660,1032220,MAXIMUS INC,4,2/3/2015,edgar/data/1032220/0001032220-15-000006.txt
12661,1032220,MAXIMUS INC,4,2/3/2015,edgar/data/1032220/0001032220-15-000007.txt
12662,1032220,MAXIMUS INC,4,2/9/2015,edgar/data/1032220/0001032220-15-000008.txt
12663,1032220,MAXIMUS INC,4,2/9/2015,edgar/data/1032220/0001032220-15-000009.txt
12664,1032220,MAXIMUS INC,4,2/13/2015,edgar/data/1032220/0001032220-15-000010.txt
12665,1032220,MAXIMUS INC,4,2/18/2015,edgar/data/1032220/0001032220-15-000011.txt
12666,1032220,MAXIMUS INC,4,2/18/2015,edgar/data/1032220/0001032220-15-000012.txt
12667,1032220,MAXIMUS INC,4,2/19/2015,edgar/data/1032220/0001032220-15-000013.txt
12668,1032220,MAXIMUS INC,4,2/19/2015,edgar/data/1032220/0001032220-15-000014.txt
12669,1032220,MAXIMUS INC,4,2/26/2015,edgar/data/1032220/0001032220-15-000015.txt
12670,1032220,MAXIMUS INC,4,2/27/2015,edgar/data/1032220/0001032220-15-000016.txt
12671,1032220,MAXIMUS INC,4,3/2/2015,edgar/data/1032220/0001032220-15-000017.txt
12672,1032220,MAXIMUS INC,4,3/2/2015,edgar/data/1032220/0001032220-15-000018.txt
12673,1032220,MAXIMUS INC,4,3/2/2015,edgar/data/1032220/0001032220-15-000019.txt
12674,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000020.txt
12675,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000021.txt
12676,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000022.txt
12677,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000023.txt
12678,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000024.txt
12679,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000025.txt
12680,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000026.txt
12681,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000027.txt
12682,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000028.txt
12683,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000029.txt
12684,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000030.txt
12685,1032220,MAXIMUS INC,4,3/3/2015,edgar/data/1032220/0001032220-15-000031.txt
12686,1032220,MAXIMUS INC,4,3/4/2015,edgar/data/1032220/0001032220-15-000032.txt
12687,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000033.txt
12688,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000034.txt
12689,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000035.txt
12690,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000036.txt
12691,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000037.txt
12692,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000038.txt
12693,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000039.txt
12694,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000040.txt
12695,1032220,MAXIMUS INC,4,3/12/2015,edgar/data/1032220/0001032220-15-000041.txt
12696,1032220,MAXIMUS INC,4,3/17/2015,edgar/data/1032220/0001032220-15-000042.txt
12697,1032220,MAXIMUS INC,4,3/17/2015,edgar/data/1032220/0001032220-15-000043.txt
12698,1032220,MAXIMUS INC,8-K,2/9/2015,edgar/data/1032220/0001157523-15-000475.txt
