Date,Price,Return
2013-01-02,34.87286514036252,0.0
2013-01-03,34.60124793170004,-0.007819274851137425
2013-01-04,34.67832927677151,0.002225226538148828
2013-01-07,34.532512965533385,-0.004213690290812977
2013-01-08,34.44130730391627,-0.0026446473290797634
2013-01-09,34.75755183854757,0.009140229773624942
2013-01-10,34.84904947623354,0.0026289946257214147
2013-01-11,35.03757775582139,0.005395273584565707
2013-01-14,35.13315876134433,0.0027242428790072992
2013-01-15,35.142046287917566,0.00025293491820876923
2013-01-16,35.04381120224817,-0.0027992861619074993
2013-01-17,35.237552475521504,0.0055133182935653835
2013-01-18,35.21283895955042,-0.000701586364004303
2013-01-22,35.34606903317721,0.003776425564229413
2013-01-23,35.42997930804788,0.0023711500190164436
2013-01-24,35.67205850532348,0.006809372561031868
2013-01-25,36.08716261121894,0.011569488343726952
2013-01-28,35.989239417690605,-0.0027172070475449672
2013-01-29,35.82434686930343,-0.00459224630585231
2013-01-30,35.77402795315104,-0.0014055884525778772
2013-01-31,35.91579528200984,0.00395502477918086
2013-02-01,36.30592003510783,0.010803635608587658
2013-02-04,35.907875073067444,-0.011024181535448374
2013-02-05,36.42794607416719,0.014379596559448427
2013-02-06,36.35423241647486,-0.0020255970465625772
2013-02-07,36.358569290462725,0.00011928777027447879
2013-02-08,36.500732012894694,0.003902395447155982
2013-02-11,36.414267447768005,-0.002371654839050663
2013-02-12,36.524024333497806,0.003009584290880163
2013-02-13,36.6508464331211,0.0034662781164116474
2013-02-14,36.83860923119521,0.0051099359748900675
2013-02-15,36.55776456143572,-0.007652858742580815
2013-02-19,36.889938463321606,0.009045243158774419
2013-02-20,36.40040056437754,-0.01335906439645651
2013-02-21,35.80444086515447,-0.01650784687179563
2013-02-22,36.184284991436066,0.010552976091093846
2013-02-25,35.414995213300806,-0.0214895842719538
2013-02-26,35.57165978207511,0.004413923240607076
2013-02-27,36.01561794069165,0.012403428778267944
2013-02-28,36.041779479461795,0.0007261305807952922
2013-03-01,36.07790679449585,0.0010018711928032609
2013-03-04,36.139992565385526,0.0017194016091730546
2013-03-05,36.729909690635125,0.016191321645778523
2013-03-06,36.76892341294246,0.0010616148399660297
2013-03-07,36.96389066502815,0.005288492211497964
2013-03-08,37.21206636039259,0.006691565066737404
2013-03-11,37.19503753109554,-0.0004577205321467659
2013-03-12,37.106607499789206,-0.002380299198543767
2013-03-13,37.24491512919263,0.0037203754285464186
2013-03-14,37.527342084201265,0.007554360632403334
2013-03-15,37.31588081983859,-0.00565079425622006
2013-03-18,37.190678319506496,-0.003360848216004797
2013-03-19,37.030303469310944,-0.004321556948588157
2013-03-20,37.455964302631706,0.011429367579606886
2013-03-21,36.333674898336255,-0.03042096331155042
2013-03-22,36.3319572200804,-4.727622140210386e-05
2013-03-25,36.28940544615098,-0.0011718804835618712
2013-03-26,36.55312924795967,0.007240960386716733
2013-03-27,36.642909728739866,0.002453152576558537
2013-03-28,36.95366430459421,0.00844486110229914
2013-04-01,36.31187647298184,-0.017519948424307152
2013-04-02,36.053071572499924,-0.007152800102747214
2013-04-03,35.49035647284746,-0.01573105229603433
2013-04-04,35.51932838336807,0.0008159988933016393
2013-04-05,35.06376667365305,-0.01290870102413555
2013-04-08,35.30964882790911,0.006987955695187065
2013-04-09,35.20934697302986,-0.0028446781290214496
2013-04-10,36.045100383691974,0.023459356446019264
2013-04-11,35.95210302310256,-0.0025833617948771703
2013-04-12,35.71162466030825,-0.006711324492888693
2013-04-15,34.57054968704253,-0.03247410201700074
2013-04-16,35.21860618814088,0.018572373340041803
2013-04-17,34.54870444390793,-0.019204476337582044
2013-04-18,34.076819490939805,-0.01375267869533392
2013-04-19,34.22845635214525,0.004439982371516216
2013-04-22,34.337642243766226,0.0031848387511623777
2013-04-23,34.86270008862551,0.015175298370119439
2013-04-24,34.979686217381676,0.0033500069041294545
2013-04-25,35.34823911933163,0.010481079146488437
2013-04-26,35.206059671245605,-0.004030360813854994
2013-04-29,35.59610463394425,0.011017993937033399
2013-04-30,36.085902257690286,0.013666058412496795
2013-05-01,35.39261641065625,-0.019399047474235154
2013-05-02,35.56805337917512,0.004944635570173439
2013-05-03,36.10879704390634,0.015088663094385613
2013-05-06,36.367967535144366,0.007151853354247173
2013-05-07,36.629810214983486,0.007174021207788872
2013-05-08,36.897342127989354,0.007277123759316773
2013-05-09,36.897345551315425,9.277974299948255e-08
2013-05-10,37.20083090818719,0.008191485091013195
2013-05-13,36.9775949245003,-0.006018910623046381
2013-05-14,37.335684346523244,0.009637367563624544
2013-05-15,37.30276661910675,-0.0008820582186492842
2013-05-16,37.24348762982867,-0.0015903951813576178
2013-05-17,37.85878140738422,0.01638585764164313
2013-05-20,37.7411949764656,-0.003110755620961747
2013-05-21,37.70696086302135,-0.0009074871456498101
2013-05-22,36.937454694603296,-0.020618647063322726
2013-05-23,37.00464451221189,0.0018173634998812638
2013-05-24,36.899935457071166,-0.002833630209314375
2013-05-28,37.37461325714237,0.01278188210823794
2013-05-29,37.2005625183122,-0.004667801397548743
2013-05-30,37.818065096780984,0.016463018450156408
2013-05-31,37.517091251585725,-0.00799030521971611
2013-06-03,37.494161747145895,-0.0006113617420684392
2013-06-04,37.36224581905592,-0.0035245096294556078
2013-06-05,36.9538077810175,-0.010992030138718967
2013-06-06,37.45304290321525,0.013419264739756631
2013-06-07,37.777745696491344,0.00863223197837204
2013-06-10,37.77501381237096,-7.231725589740279e-05
2013-06-11,37.30233448901656,-0.012591962279006275
2013-06-12,36.91120290370986,-0.01054080483284281
