,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
541,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-12,million,program,sharehold,share,esterlin,market,march,vote,repurchas,exhibit
558,350797,EATON VANCE CORP,2015-01-14,previou,stockhold,octob,jr,januari,vote,common,annual,meet,compani
704,70145,NATIONAL FUEL GAS CO,2015-03-16,stockhold,fuel,vote,respect,abstain,non,ga,nation,broker,equiti
1318,936395,CIENA CORP,2015-03-30,ciena,major,stockhold,patrick,foragainstabstainnon,affirm,vote,cast,propos,director
1348,936528,WASHINGTON FEDERAL INC,2015-01-26,three,washington,vote,deloitt,feder,touch,roy,total,whitehead,tabbutt
1486,1018003,INGRAM MICRO INC,2015-06-04,compani,sharehold,ingram,votesfor,levinson,abstain,broker,vote,linda,atkin
1516,1025996,KILROY REALTY CORP,2015-05-21,stevenson,broker,compani,non,abstain,propos,kilroy,vote,joli,brennan
1525,103730,VISHAY INTERTECHNOLOGY INC,2015-05-19,common,stock,power,dividend,vishay,class,total,declar,vote,zandman
1550,1038074,SILICON LABORATORIES INC,2015-04-27,egil,tuttl,alf,tyson,abstain,sumit,vote,bogen,sadana,broker
1565,1056696,MANHATTAN ASSOCIATES INC,2015-05-19,vote,class,continu,sharehold,meet,number,annual,ii,compani,entitl
1603,1062449,BUFFALO WILD WINGS INC,2015-05-11,sharehold,vote,propos,member,base,follow,obtain,oliv,compani,warren
1639,1077771,UMPQUA HOLDINGS CORP,2015-04-17,alui,auditor,againstfor,ajam,vote,amaria,apeggi,webb,againstabstain,ahilliard
1674,1128928,FLOWERS FOODS INC,2015-06-10,bylaw,amend,therefor,restat,vote,flower,articl,food,incorpor,compani
1728,1179929,MOLINA HEALTHCARE INC,2015-05-13,frank,compani,regard,cooperman,murray,garrey,carruth,vote,stockhold,goal
1754,1265888,NEUSTAR INC,2015-06-02,neustar,stockhold,broker,vote,inc,abstent,non,approv,restat,declassifi
1763,1287865,MEDICAL PROPERTIES TRUST INC,2015-05-14,steven,vote,forth,jr,number,abstent,propos,broker,set,cast
1802,18349,SYNOVUS FINANCIAL CORP,2015-04-29,synovu,hansford,propos,vote,nathaniel,abstent,broker,sharehold,tabul,nix
1820,310142,SENSIENT TECHNOLOGIES CORP,2015-04-28,compani,share,vote,dr,man,sharehold,abstain,kenneth,croft,broker
1856,355811,GENTEX CORP,2015-05-27,planth,compani,second,vote,sharehold,purchas,abstent,amend,broker,restrict
1887,46195,BANK OF HAWAII CORP,2015-04-28,elect,abstent,vote,cast,robert,heenan,non,compani,director,hawaii
1912,52827,RAYONIER INC,2015-05-19,item,matter,holder,vote,secur,submiss,,,,
1973,701811,MENTOR GRAPHICS CORP,2015-06-22,vote,jeffrey,propos,keith,mascarena,brokernon,elect,wilsonvil,mcmanu,hinckley
1984,706688,AARON'S INC,2015-05-08,robinson,aaron,vote,director,compani,meet,annual,exhibit,equiti,abstain
2037,73088,NORTHWESTERN CORP,2015-04-29,nomin,northwestern,vote,director,meet,compani,respect,person,annual,deloitt
2045,73756,OCEANEERING INTERNATIONAL INC,2015-05-11,vote,ocean,webster,forth,abstent,set,broker,class,director,result
2079,74303,OLIN CORP,2015-04-29,asm,bogu,propos,votespropos,vote,schulz,vincent,notapplic,three,olin
2114,7536,ARROW ELECTRONICS INC,2015-05-27,compani,ask,vote,share,propos,sharehold,electron,arrow,favor,pass
2159,861459,GRANITE CONSTRUCTION INC,2015-06-09,vote,granit,foragainstabstainbrok,construct,incent,compani,incorpor,plan,ensu,term
2182,887936,FTI CONSULTING INC,2015-06-05,fti,consult,vote,propos,june,omnibu,brokernon,effect,cast,inc
2193,903127,POST PROPERTIES INC,2015-06-05,morgan,mr,real,estat,board,compani,director,form,june,certain
2238,910606,REGENCY CENTERS CORP,2015-05-14,list,vote,fiscal,board,account,current,accord,elect,kpmg,meet
2249,921112,LIBERTY PROPERTY TRUST,2015-05-15,offic,propos,truste,trust,select,vote,nine,hold,broker,lachman
2331,945394,HOSPITALITY PROPERTIES TRUST,2015-06-04,dr,gan,committe,compani,portnoy,mr,manag,truste,board,govern
2373,945764,DENBURY RESOURCES INC,2015-05-22,result,vote,exhibit,includ,compani,propos,broker,follow,restat,abstent
2391,945841,POOL CORP,2015-05-07,pool,vote,brokernon,stockhold,sharesfor,releas,corpor,final,press,exhibit
2757,720672,STIFEL FINANCIAL CORP,2015-07-07,six,ii,reconven,vote,exhibit,perform,propos,abstent,sharehold,stifel
2841,74303,OLIN CORP,2015-09-15,issuanc,agreement,special,olin,splitco,tdcc,merger,septemb,share,releas
