,Freq,Freq_pct
exhibit,14780,0.040190565278397164
item,11269,0.0306432665847265
result,10626,0.028894786647378094
releas,10563,0.02872347368306558
press,10364,0.028182342256110163
financi,9276,0.02522379455496699
compani,8689,0.023627592808118603
act,7743,0.02105517909002904
file,7349,0.019983793249725355
statement,6487,0.017639796817385818
quarter,5864,0.015945701948073137
report,5598,0.01522238054319806
secur,5521,0.015012998031260537
exchang,5291,0.014387569748849756
gaap,5172,0.014063978594037222
inform,4899,0.013321622415349642
end,4888,0.013291710627929996
condit,4518,0.012285586869269173
measur,4427,0.012038134809706646
section,4304,0.011703666641286968
form,3708,0.01008299161382251
date,3559,0.009677822856956394
refer,3499,0.009514667652849234
share,2866,0.007793380249518692
purpos,2572,0.0069939197493936065
non,2255,0.006131916421027442
includ,2129,0.005789290492402406
use,1894,0.005150265942982695
year,1880,0.0051121963953576904
incom,1858,0.005052372820518398
herein,1806,0.004910971643625526
copi,1745,0.00474509718611658
corpor,1689,0.004592818995616563
gener,1660,0.004513960646964769
cash,1654,0.0044976451265540535
period,1650,0.004486768112946909
hereto,1644,0.0044704525925361935
perform,1603,0.004358963203062967
incorpor,1586,0.004312735895232605
month,1574,0.004280104854411173
addit,1532,0.004165896211536161
cost,1512,0.004111511143500441
manag,1505,0.0040924763696879385
investor,1488,0.004046249061857576
busi,1446,0.003932040418982564
loss,1376,0.0037416926808575435
juli,1339,0.0036410803049914614
tax,1336,0.0036329225447861036
decemb,1314,0.0035730989699468115
regul,1275,0.003467048087277157
call,1243,0.003380031978420005
dilut,1226,0.003333804670589643
provid,1222,0.003322927656982499
product,1215,0.003303892883169997
march,1211,0.003293015869562853
registr,1207,0.0032821388559557086
stock,1203,0.0032712618423485647
april,1200,0.003263104082143207
time,1188,0.0032304730413217748
sale,1187,0.0032277537879199887
june,1178,0.0032032805073039148
contract,1157,0.0031461761858664087
octob,1151,0.0031298606654556927
segment,1144,0.0031108258916431905
septemb,1132,0.0030781948508217583
believ,1114,0.00302924828958961
accord,1093,0.002972143968152104
ebitda,1054,0.00286609308548245
effect,1037,0.0028198657776520876
februari,1014,0.00275732294941101
market,1002,0.0027246919085895777
contain,999,0.0027165341483842195
risk,982,0.0026703068405538577
asset,978,0.0026594298269467134
januari,957,0.0026023255055092074
materi,934,0.002539782677268129
confer,912,0.002479959102428837
base,910,0.0024745205956252653
price,905,0.0024609243286163353
futur,879,0.002390223740169899
flow,877,0.002384785233366327
otherwis,859,0.002335838672134179
chang,848,0.0023059268847145328
debt,839,0.002281453604098459
liabil,835,0.0022705765904913145
plan,827,0.0022488225632770267
impact,809,0.0021998760020448785
number,805,0.0021889989884377346
