,Freq,Freq_pct
compani,10732,0.033649489707934216
director,9476,0.029711383197203192
mr,7069,0.02216439086334206
stock,5551,0.017404800351168735
plan,5452,0.017094392274287863
agreement,5392,0.016906266167087337
board,5312,0.016655431357486636
exhibit,4395,0.013780237352438584
item,4167,0.013065358145076584
perform,3766,0.011808048661953063
presid,3693,0.011579161898192422
date,3647,0.011434931882672018
base,3639,0.011409848401711947
share,3498,0.01096775204979071
appoint,3473,0.01088936617179049
award,3312,0.010384561117469077
year,3302,0.01035320676626899
term,2794,0.008760405725304529
vice,2579,0.00808628717450264
effect,2577,0.008080016304262624
incent,2531,0.00793578628874222
execut,2441,0.00765359712794143
committe,2385,0.007478012761220939
statement,2329,0.007302428394500447
offic,2281,0.0071519275087400256
vote,2273,0.007126844027779955
compens,2179,0.00683211312649913
chief,2167,0.006794487905059024
arrang,2107,0.006606361797858498
grant,2075,0.0065060278740182165
unit,2065,0.006474673522818129
form,2023,0.006342985247777761
elect,1978,0.006201890667377365
meet,1948,0.006107827613777102
compensatori,1906,0.005976139338736733
employ,1893,0.005935378682176619
period,1822,0.005712762788655996
report,1768,0.005543449292175521
corpor,1747,0.005477605154655337
file,1740,0.005455657108815275
restrict,1696,0.00531769796353489
chang,1673,0.005245582955774688
termin,1663,0.0052142286045746
target,1656,0.005192280558734538
releas,1594,0.004997883581293994
control,1594,0.004997883581293994
press,1485,0.004656121153213037
payment,1443,0.004524432878172668
financi,1433,0.00449307852697258
serv,1431,0.004486807656732563
cash,1331,0.004173264144731685
salari,1324,0.004151316098891624
time,1310,0.004107420007211501
decemb,1257,0.003941241945851035
name,1190,0.003731167792810447
option,1156,0.003624562998730149
number,1152,0.0036120212582501135
amount,1129,0.0035399062504899116
vest,1122,0.0035179582046498503
bonu,1069,0.003351780143289385
januari,1044,0.0032733942652891654
ms,1025,0.003213820998008999
particip,1018,0.003191872952168937
provid,1011,0.003169924906328876
receiv,987,0.0030946744634486652
march,986,0.003091539028328656
herein,976,0.0030601846771285686
end,948,0.0029723924937683226
restat,916,0.0028720585699280416
addit,916,0.0028720585699280416
retir,912,0.0028595168294480067
includ,911,0.002856381394327998
benefit,874,0.002740370294887673
member,870,0.0027278285544076377
result,865,0.002712151378807594
manag,854,0.0026776615924874974
continu,851,0.002668255287127471
approv,835,0.0026180883252073304
secur,829,0.002599275714487278
section,822,0.0025773276686472165
account,822,0.0025773276686472165
non,820,0.002571056798407199
incorpor,820,0.002571056798407199
month,802,0.002514618966247041
chairman,800,0.002508348096007023
gener,785,0.0024613165692068915
program,772,0.0024205559126467776
employe,762,0.0023892015614466896
amend,750,0.0023515763400065843
busi,749,0.0023484409048865756
respect,746,0.0023390345995265493
goal,743,0.002329628294166523
posit,737,0.0023108156834464703
exchang,722,0.0022637841566463387
determin,720,0.002257513286406321
qualifi,714,0.0022387006756862684
resign,708,0.0022198880649662157
februari,692,0.002169721103046075
event,687,0.0021540439274460314
april,670,0.002100741530405882
june,660,0.002069387179205794
descript,658,0.002063116308965777
sever,657,0.0020599808738457678
septemb,652,0.002044303698245724
juli,652,0.002044303698245724
propos,644,0.002019220217285654
level,630,0.001975324125605531
price,626,0.001962782385125496
bank,611,0.001915750858325364
reason,607,0.001903209117845329
valu,602,0.001887531942245285
rsu,602,0.001887531942245285
act,590,0.0018499067208051798
enter,568,0.0017809271481649866
proxi,563,0.0017652499725649426
group,558,0.0017495727969648988
copi,556,0.0017433019267248813
inform,551,0.0017276247511248373
day,545,0.0017088121404047847
describ,539,0.001689999529684732
person,534,0.001674322354084688
tax,516,0.00161788452192453
market,508,0.00159280104096446
condit,506,0.0015865301707244422
requir,506,0.0015865301707244422
portion,498,0.0015614466897643721
refer,498,0.0015614466897643721
age,495,0.0015520403844043458
defin,494,0.001548904949284337
connect,494,0.001548904949284337
regul,489,0.0015332277736842931
servic,488,0.0015300923385642843
sinc,488,0.0015300923385642843
achiev,485,0.001520686033204258
hereto,481,0.0015081442927242228
broker,467,0.0014642482010440998
role,465,0.0014579773308040823
ii,463,0.0014517064605640648
oper,462,0.001448571025444056
measur,462,0.001448571025444056
princip,458,0.0014360292849640208
announc,455,0.0014266229796039945
octob,454,0.0014234875444839859
transact,447,0.0014015394986439244
elig,447,0.0014015394986439244
caus,441,0.0013827268879238717
entireti,440,0.0013795914528038629
complet,440,0.0013795914528038629
join,436,0.0013670497123238277
matter,428,0.0013419662313637576
bylaw,422,0.001323153620643705
respons,409,0.0012823929640835908
limit,408,0.001279257528963582
august,407,0.001276122093843573
consult,406,0.0012729866587235644
letter,391,0.0012259551319234326
immedi,389,0.0012196842616834151
case,383,0.0012008716509633625
transit,381,0.0011946007807233448
dividend,377,0.0011820590402433098
interest,376,0.001178923605123301
class,372,0.0011663818646432658
law,365,0.0011444338188032043
return,361,0.0011318920783231694
registr,351,0.0011005377271230815
percentag,350,0.0010974022920030727
audit,350,0.0010974022920030727
materi,349,0.0010942668568830638
rate,348,0.0010911314217630552
iii,346,0.0010848605515230375
merger,337,0.0010566416354429585
subsidiari,334,0.0010472353300829322
separ,333,0.0010440998949629236
product,333,0.0010440998949629236
equiti,333,0.0010440998949629236
pursuant,331,0.001037829024722906
forego,326,0.001022151849122862
death,322,0.001009610108642827
financ,313,0.000981391192562748
revenu,312,0.000978255757442739
accord,307,0.0009625785818426952
univers,306,0.0009594431467226864
disabl,300,0.0009406305360026338
code,299,0.000937495100882625
text,293,0.0009186824901625723
capit,290,0.000909276184802546
becom,290,0.000909276184802546
novemb,289,0.0009061407496825372
author,288,0.0009030053145625284
tsr,284,0.0008904635740824933
polici,280,0.0008779218336024582
firm,279,0.0008747863984824494
ceo,275,0.0008622446580024142
dr,272,0.0008528383526423879
provis,272,0.0008528383526423879
basi,271,0.0008497029175223792
payabl,270,0.0008465674824023704
entitl,268,0.0008402966121623529
purchas,267,0.000837161177042344
sale,267,0.000837161177042344
pay,266,0.0008340257419223353
quarter,265,0.0008308903068023265
counsel,264,0.0008277548716823177
schedul,258,0.000808942260962265
successor,257,0.0008058068258422563
individu,256,0.0008026713907222474
purpos,255,0.0007995359556022387
outstand,253,0.0007932650853622211
part,252,0.0007901296502422124
power,252,0.0007901296502422124
definit,251,0.0007869942151222035
incom,249,0.0007807233448821861
regard,249,0.0007807233448821861
indemnif,246,0.0007713170395221597
