Date,TKR,LII,EME,FCN,GWR,OSK,OA,JOY,CSL,CLC,CW,DCI,DY,ESL,GATX,GGG,HUBB,IEX,KMT,LECO,ROL,TTC,HNI,MLHR,BEAV,CLH,GVA,AOS,KEX,MSA,NDSN,ODFL,AGCO,RBC,KBR,VMI,HII,WERN,WSO,ITT,MAN,CPRT,TEX,WAB,WWD,CAR,JBLU,TRN,LSTR,MSM,CEB,ACM,TDY,CR,DLX,ENS
2015-03-05,42.700001,107.379997,43.91,37.150002,104.709999,47.439999,67.75,39.939999,93.730003,65.75,72.349998,37.860001000000004,46.330002,117.730003,60.43,75.400002,110.239998,76.540001,34.459998999999996,68.849998,34.000005,67.309998,50.560001,28.83,62.68,55.970001,33.07,63.439999,77.57,47.509997999999996,76.5,77.650002,49.52,77.870003,15.81,124.559998,140.880005,31.51,118.480003,41.509997999999996,80.190002,37.27,26.35,93.58000200000001,48.650002,60.630001,17.48,32.209998999999996,68.57,72.889999,79.68,29.4,99.889999,66.339996,65.610001,65.910004
2015-03-06,42.349998,106.610001,44.290001000000004,36.43,104.900002,46.799999,68.730003,39.049999,92.510002,64.589996,70.910004,37.52,45.290001000000004,106.779999,59.310001,74.220001,109.879997,75.360001,33.779999,67.779999,33.790006,66.93,49.970001,28.059998999999998,61.860001000000004,57.02,32.169998,63.040001000000004,76.089996,46.869999,75.410004,77.510002,48.790001000000004,76.599998,15.49,123.91999799999999,137.070007,31.219998999999998,116.5,40.959998999999996,78.58000200000001,37.220001,25.610001,92.43,47.830002,60.459998999999996,17.18,31.92,68.41999799999999,72.160004,79.120003,29.370001000000002,99.739998,65.43,63.84,65.480003
2015-03-09,42.619999,106.980003,44.740002000000004,36.91,104.43,46.990002000000004,69.260002,39.0,92.849998,65.25,71.25,37.740002000000004,46.09,109.809998,58.610001000000004,74.83000200000001,110.57,75.730003,34.18,67.610001,34.009995,67.08000200000001,50.84,28.209999,62.029999,56.209998999999996,32.259997999999996,63.650002,76.040001,49.200001,75.32,77.75,49.189999,76.660004,15.56,125.18,139.28999299999998,31.18,116.349998,41.16,82.010002,37.220001,25.370001000000002,92.5,48.919998,60.389998999999996,17.190001000000002,31.74,68.489998,71.93,79.089996,29.02,101.160004,65.379997,64.480003,65.779999
2015-03-10,42.189999,107.129997,43.689999,36.209998999999996,102.720001,46.700001,72.059998,38.68,91.019997,63.830002,70.739998,37.299999,43.540001000000004,106.959999,56.490002000000004,73.190002,108.220001,74.559998,33.77,65.370003,33.150001,66.089996,49.740002000000004,27.690001000000002,60.889998999999996,54.950001,31.700001,62.93,74.550003,49.0,73.699997,76.809998,48.009997999999996,75.769997,14.99,120.910004,137.330002,30.639999,117.040001,40.040001000000004,81.959999,36.68,25.549999,91.559998,47.919998,58.959998999999996,16.98,29.790001,67.980003,71.510002,77.800003,29.35,99.529999,63.709998999999996,63.529999,64.209999
2015-03-11,41.889998999999996,108.010002,44.099998,36.380001,103.370003,47.099998,73.790001,38.009997999999996,91.339996,64.160004,71.400002,37.580002,44.799999,107.790001,56.959998999999996,73.760002,108.660004,75.129997,33.25,66.480003,22.440001000000002,66.75,50.759997999999996,27.950001,61.330002,54.240002000000004,31.74,63.16,75.970001,49.560001,73.800003,77.889999,47.349998,75.839996,15.0,121.019997,138.91000400000001,31.860001,118.739998,39.990002000000004,81.58000200000001,36.810001,25.23,92.68,48.189999,60.099998,17.139999,31.77,68.790001,70.970001,77.66999799999999,29.360001,99.33000200000001,63.900002,64.239998,64.41999799999999
2015-03-12,42.189999,108.699997,45.099998,37.259997999999996,103.879997,47.529999,75.360001,39.459998999999996,91.769997,65.83000200000001,72.940002,37.68,45.130001,109.91999799999999,57.619999,74.57,109.050003,76.050003,33.529999,66.779999,22.48,68.239998,51.669998,28.5,61.919998,55.889998999999996,33.130001,63.060001,75.41999799999999,49.84,75.58000200000001,78.410004,47.360001000000004,76.93,15.05,124.089996,140.649994,32.189999,121.139999,39.98,84.059998,37.32,26.07,94.290001,49.389998999999996,60.0,18.1,32.869999,68.58000200000001,72.08000200000001,77.57,29.58,100.550003,64.459999,65.209999,65.730003
2015-03-13,41.759997999999996,107.860001,44.630001,36.529999,103.279999,47.189999,76.83000200000001,39.029999,90.349998,65.25,72.360001,37.18,44.18,110.41999799999999,56.959998999999996,73.150002,108.300003,74.720001,32.720001,65.5,23.120001000000002,67.709999,51.130001,27.709999,61.23,55.919998,32.310001,62.040001000000004,73.610001,47.919998,75.279999,78.190002,47.0,76.650002,14.68,123.599998,139.330002,31.940001000000002,120.389999,39.82,83.290001,37.279999,25.709999,93.489998,48.779999,58.23,18.120001000000002,33.939999,67.83000200000001,71.040001,76.470001,29.09,99.040001,63.279999,63.490002000000004,64.43
2015-03-16,41.82,108.400002,44.200001,36.959998999999996,104.769997,47.470001,75.889999,39.630001,91.989998,65.43,72.57,37.830002,43.919998,111.339996,58.290001000000004,73.339996,109.620003,75.25,33.169998,66.629997,23.6,67.400002,52.82,28.459999,61.470001,56.32,32.34,62.779999,74.980003,47.889998999999996,76.800003,79.279999,47.200001,78.129997,14.7,124.370003,139.429993,32.490002000000004,120.849998,40.169998,84.449997,37.73,25.52,95.559998,49.48,58.32,18.700001,33.450001,68.68,73.400002,77.870003,29.33,100.949997,63.880001,64.339996,64.629997
2015-03-17,41.099998,108.089996,44.919998,37.130001,104.540001,47.759997999999996,75.959999,39.18,91.629997,66.160004,72.5,37.900002,45.330002,112.129997,59.360001000000004,72.360001,109.480003,75.120003,32.900002,66.889999,23.959999,67.120003,51.880001,28.75,61.790001000000004,56.990002000000004,32.380001,63.119999,75.58000200000001,49.779999,77.769997,79.779999,47.02,79.089996,14.51,123.519997,140.360001,32.509997999999996,121.230003,39.619999,84.550003,37.41,25.780001000000002,95.720001,49.419998,58.330002,19.16,34.189999,68.029999,73.410004,78.150002,29.66,100.41999799999999,63.889998999999996,65.519997,65.989998
2015-03-18,41.610001000000004,109.230003,45.25,37.009997999999996,104.739998,48.060001,77.16999799999999,40.32,92.349998,65.690002,72.779999,38.029999,45.119999,115.440002,60.080002,73.58000200000001,110.0,77.019997,33.810001,67.690002,24.129998999999998,68.120003,52.959998999999996,28.879998999999998,63.110001000000004,57.259997999999996,32.830002,65.040001,76.040001,49.959998999999996,79.010002,80.379997,47.91,80.199997,14.64,124.66999799999999,141.479996,32.84,122.540001,40.779999,86.260002,37.349998,26.809998999999998,96.07,50.43,60.02,19.24,34.75,69.110001,73.800003,78.620003,30.389999,101.629997,65.269997,66.760002,66.33000200000001
