,CIK,Company Name,Form Type,Date Filed,Filename,Text
226423,8868,AVON PRODUCTS INC,8-K,2016-04-15,edgar/data/8868/0000008868-16-000126.txt,
226424,8868,AVON PRODUCTS INC,8-K,2016-05-05,edgar/data/8868/0000008868-16-000134.txt,
226425,8868,AVON PRODUCTS INC,8-K,2016-05-26,edgar/data/8868/0000008868-16-000143.txt,
239004,931336,DEAN FOODS CO,8-K,2016-05-10,edgar/data/931336/0000931336-16-000034.txt,
239005,931336,DEAN FOODS CO,8-K,2016-05-13,edgar/data/931336/0001104659-16-120912.txt,
243295,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2016-04-27,edgar/data/98677/0000098677-16-000015.txt,
243296,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2016-05-06,edgar/data/98677/0000098677-16-000017.txt,
4283,1020859,UNITED NATURAL FOODS INC,8-K,2016-09-12,edgar/data/1020859/0001020859-16-000255.txt,
24600,1128928,FLOWERS FOODS INC,8-K,2016-07-29,edgar/data/1128928/0001193125-16-663566.txt,
24601,1128928,FLOWERS FOODS INC,8-K,2016-08-10,edgar/data/1128928/0001193125-16-677495.txt,
24602,1128928,FLOWERS FOODS INC,8-K,2016-08-11,edgar/data/1128928/0001193125-16-678633.txt,
24603,1128928,FLOWERS FOODS INC,8-K,2016-09-23,edgar/data/1128928/0001193125-16-717816.txt,
24604,1128928,FLOWERS FOODS INC,8-K,2016-09-28,edgar/data/1128928/0001193125-16-723321.txt,
160349,57515,LANCASTER COLONY CORP,8-K,2016-08-17,edgar/data/57515/0000057515-16-000045.txt,
160350,57515,LANCASTER COLONY CORP,8-K,2016-08-18,edgar/data/57515/0000057515-16-000048.txt,
186027,8868,AVON PRODUCTS INC,8-K,2016-08-02,edgar/data/8868/0000008868-16-000162.txt,
186028,8868,AVON PRODUCTS INC,8-K,2016-08-02,edgar/data/8868/0000008868-16-000165.txt,
186029,8868,AVON PRODUCTS INC,8-K,2016-08-04,edgar/data/8868/0000008868-16-000170.txt,
186030,8868,AVON PRODUCTS INC,8-K,2016-08-16,edgar/data/8868/0000008868-16-000175.txt,
186031,8868,AVON PRODUCTS INC,8-K,2016-09-08,edgar/data/8868/0000008868-16-000179.txt,
195554,931336,DEAN FOODS CO,8-K,2016-08-08,edgar/data/931336/0000931336-16-000041.txt,
195555,931336,DEAN FOODS CO,8-K,2016-09-01,edgar/data/931336/0001104659-16-142667.txt,
198976,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2016-07-28,edgar/data/98677/0000098677-16-000020.txt,
7600,1020859,UNITED NATURAL FOODS INC,8-K,2013-02-26,edgar/data/1020859/0001445305-13-000324.txt,
35632,1096752,ENERGIZER HOLDINGS INC,8-K,2013-01-29,edgar/data/1096752/0001096752-13-000015.txt,
35633,1096752,ENERGIZER HOLDINGS INC,8-K,2013-01-31,edgar/data/1096752/0001096752-13-000018.txt,
